,Preis MC Auktion [EUR/MWh],MC Referenzpreis [EUR/MWh]
17.10.2024 22:00:00,93,84
17.10.2024 23:00:00,86,62
18.10.2024 00:00:00,79,89
18.10.2024 01:00:00,76,16
18.10.2024 02:00:00,62,5
18.10.2024 03:00:00,53,58
18.10.2024 04:00:00,62,1
18.10.2024 05:00:00,64,41
18.10.2024 06:00:00,79,2
18.10.2024 07:00:00,92,57
18.10.2024 08:00:00,138,65
18.10.2024 09:00:00,147,21
18.10.2024 10:00:00,77,87
18.10.2024 11:00:00,62,1
18.10.2024 12:00:00,43,93
18.10.2024 13:00:00,34,93
18.10.2024 14:00:00,1,34
18.10.2024 15:00:00,50,95
18.10.2024 16:00:00,78,60
18.10.2024 17:00:00,95,20
18.10.2024 18:00:00,122,51
18.10.2024 19:00:00,165,60
18.10.2024 20:00:00,142,9
18.10.2024 21:00:00,103,6
18.10.2024 22:00:00,96,35
18.10.2024 23:00:00,91,7
19.10.2024 00:00:00,83,28
