"Time","sensor-readings.reading"
1649285196000,9.3
1649285331000,9
1649285976000,9.3
1649287611000,9.6
1649287911000,10
1649288166000,10.3
1649289396000,10
1649289546000,9.6
1649290386000,9.3
1649290701000,9
1649291361000,9.3
1649291541000,9.6
1649291766000,9.3
1649291841000,9
1649292096000,8.6
1649292531000,8.2
1649294541000,8.6
1649297017000,9.2
1649297257000,9.6
1649298801000,10
1649298936000,10.3
1649299101000,10.6
1649299582000,10.3
1649299627000,10
1649299701000,9.5
1649299761000,9.1
1649299896000,8.7
1649300001000,8.4
1649300466000,8.7
1649300616000,9.1
1649300767000,9.7
1649300871000,10.1
1649301126000,9.8
1649301216000,9.5
1649301487000,9.1
1649302311000,9.7
1649302551000,9.4
1649303061000,8.7
1649303167000,8.4
1649303361000,8.7
1649304411000,9.1
1649304726000,8.7
1649304966000,9.1
1649305866000,8.7
1649305941000,8.4
1649306346000,8.7
1649306541000,9.1
1649307081000,8.7
1649307202000,8.4
1649307336000,8.7
1649307426000,9.1
1649307636000,9.7
1649307846000,10.1
1649308491000,9.8
1649308551000,9.5
1649308627000,9.1
1649309796000,9.7
1649310126000,10.1
1649310756000,10.5
1649311027000,10.8
1649311116000,11.1
1649311461000,11.5
1649311866000,11.8
1649312121000,12.1
1649312331000,11.8
1649312406000,11.5
1649312616000,11.1
1649312947000,11.5
1649313051000,11.8
1649313351000,11.5
1649313471000,11.1
1649313516000,10.8
1649313606000,10.5
1649314056000,10.8
1649314191000,11.1
1649314281000,10.8
1649314357000,10.5
1649314476000,10.1
1649314627000,9.8
1649314806000,9.5
1649315001000,9.8
1649315136000,10.1
1649315406000,10.5
1649316111000,10.1
1649316292000,10.5
1649316381000,10.8
1649316456000,11.1
1649316861000,10.8
1649316951000,11.1
1649317041000,11.5
1649317086000,11.8
1649317252000,11.5
1649317447000,11.1
1649317972000,11.5
1649318076000,11.8
1649318182000,12.1
1649319546000,12.5
1649319651000,12.8
1649320131000,13.1
1649320296000,13.5
1649320342000,13.8
1649320401000,14.2
1649320807000,14.6
1649321346000,15
1649322171000,15.3
1649322262000,15.6
1649322366000,16
1649322487000,16.6
1649322696000,17.3
1649322742000,17.6
1649323011000,17.3
1649323146000,16.7
1649323806000,17.3
1649324301000,17.6
1649324946000,17.3
1649325351000,17.6
1649326101000,17.3
1649327061000,17.6
1649327676000,18.3
1649327706000,18.6
1649327811000,19.2
1649327871000,19.6
1649328231000,20.2
1649328321000,19.9
1649328471000,19.3
1649329331000,18.7
1649329506000,19.4
1649329626000,19.7
1649330031000,19.4
1649330451000,19.7
1649330541000,20.1
1649330931000,19.8
1649331306000,20.1
1649331516000,19.8
1649331666000,20.1
1649331891000,20.7
1649331996000,21.1
1649332266000,20.8
1649332986000,20.1
1649333781000,19.8
1649334216000,20.1
1649334456000,20.7
1649334531000,21.1
1649334801000,20.8
1649334891000,20.4
1649335086000,19.8
1649335326000,20.1
1649336076000,19.8
1649336316000,20.1
1649336721000,19.8
1649337066000,20.1
1649337336000,19.8
1649338791000,20.1
1649339421000,20.7
1649339586000,20.4
1649340246000,19.8
1649340786000,20.1
1649341026000,19.8
1649341221000,20.1
1649341836000,19.8
1649343066000,19.1
1649343936000,19.7
1649344356000,20.1
1649344506000,19.8
1649345151000,20.1
1649345256000,19.8
1649348376000,19.1
1649349201000,18.8
1649350251000,17.8
1649351509000,17.2
1649355846000,16.8
1649356536000,17.1
1649357031000,16.8
1649357211000,16.2
1649357376000,15.8
1649357856000,15.5
1649358996000,15.1
1649359401000,14.8
1649359926000,14.5
1649361831000,14.8
1649361906000,15.1
1649362011000,15.5
1649362116000,15.8
1649362431000,15.5
1649362536000,15.1
1649363391000,14.8
1649364306000,15.1
1649364471000,15.5
1649364816000,15.1
1649364876000,14.8
1649364936000,14.5
1649365026000,14.1
1649365146000,13.8
1649365731000,13.5
1649366121000,13.8
1649366181000,14.1
1649366271000,14.5
1649366361000,14.8
1649366481000,15.1
1649366706000,15.5
1649368611000,15.1
1649369136000,14.8
1649369376000,14.5
1649369646000,14.1
1649369706000,13.8
1649369916000,13.5
1649370081000,13.1
1649370441000,12.8
1649371221000,12.5
1649371581000,12.8
1649373396000,12.5
1649374956000,12.8
1649375556000,13.1
1649375691000,13.5
1649375811000,13.8
1649376261000,14.1
1649376711000,13.8
1649376876000,13.5
1649377326000,13.8
1649377476000,14.1
