Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),THERMAL ZONE 1:Zone People Occupant Count [](Hourly),THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),THERMAL ZONE 1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer Clothes Not Comfortable Time [hr](Hourly),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Rate [W](Hourly) 
 07/30  18:00:00,27.650000000000002,109.08333333333333,2.0833333333333335,0.0,21.0,21.0,0.0,543.0274500284504 
 07/30  19:00:00,27.275000000000002,54.166666666666664,1.0833333333333333,0.0,21.0,21.0,0.0,519.1342652334367 
 07/30  20:00:00,27.724999999999998,9.166666666666666,0.3333333333333333,0.0,21.0,21.0,0.0,501.70848591802365 
 07/30  21:00:00,27.483333333333334,0.0,0.0,0.0,21.0,21.0,0.0,474.9911039717974 
 07/30  22:00:00,27.34166666666667,0.0,0.0,0.0,21.0,21.0,0.0,454.4159844790152 
 07/30  23:00:00,27.183333333333334,0.0,0.0,0.0,21.0,21.0,0.0,429.660584698125 
 07/30  24:00:00,27.041666666666668,0.0,0.0,0.0,21.0,21.0,0.0,401.6448319176373 
 07/31  01:00:00,26.766666666666666,0.0,0.0,0.0,21.0,21.0,0.0,370.943242625558 
 07/31  02:00:00,26.25,0.0,0.0,0.0,21.0,21.0,0.0,338.0132001515795 
 07/31  03:00:00,25.708333333333332,0.0,0.0,0.0,21.0,21.0,0.0,305.30467977924314 
 07/31  04:00:00,25.38333333333334,0.0,0.0,0.0,21.0,21.0,0.0,275.29869551893654 
 07/31  05:00:00,24.950000000000003,2.4999999999999996,13.472222222222221,0.0,21.0,21.0,0.0,248.1655114653964 
 07/31  06:00:00,24.291666666666668,28.666666666666668,93.25,0.0,21.0,21.0,0.0,231.6651220107481 
 07/31  07:00:00,24.233333333333334,93.08333333333333,160.66666666666666,0.0,21.0,21.0,0.0,233.48265059884298 
 07/31  08:00:00,25.45,133.58333333333334,389.5833333333333,0.0,21.0,21.0,0.0,262.2924359452468 
 07/31  09:00:00,27.308333333333334,133.5,625.0833333333334,0.0,21.0,21.0,0.0,300.3838960479206 
 07/31  10:00:00,30.2,182.16666666666666,622.9166666666666,0.0,21.0,21.0,0.0,347.188930260789 
 07/31  11:00:00,32.166666666666664,304.49999999999994,432.25,0.0,21.0,21.0,0.0,399.71582795701346 
 07/31  12:00:00,33.60833333333334,426.75,232.08333333333334,0.0,21.0,21.0,0.0,457.77464794503277 
 07/31  13:00:00,34.69166666666667,470.8333333333333,147.08333333333334,0.0,21.0,21.0,0.0,513.6653203435488 
 07/31  14:00:00,35.133333333333326,466.0833333333333,100.0,0.0,21.0,21.0,0.0,557.8016756521487 
 07/31  15:00:00,35.708333333333336,428.5833333333333,84.41666666666667,0.0,21.0,21.0,0.0,591.5449432788113 
 07/31  16:00:00,35.766666666666666,369.9166666666667,100.25,0.0,21.0,21.0,0.0,611.9372452622206 
 07/31  17:00:00,35.949999999999996,293.25,119.33333333333333,0.0,21.0,21.0,0.0,638.5421264222398 
 07/31  18:00:00,35.791666666666664,205.58333333333334,93.0,0.0,21.0,21.0,0.0,670.4680615537799 
 07/31  19:00:00,34.041666666666664,106.08333333333333,27.0,0.0,21.0,21.0,0.0,660.7544359248573 
 07/31  20:00:00,32.18333333333334,16.5,3.416666666666666,0.0,21.0,21.0,0.0,600.8837083004 
 07/31  21:00:00,30.666666666666668,0.0,0.0,0.0,21.0,21.0,0.0,531.7487327125723 
 07/31  22:00:00,29.066666666666666,0.0,0.0,0.0,21.0,21.0,0.0,502.11249637045813 
 07/31  23:00:00,27.7,0.0,0.0,0.0,21.0,21.0,0.0,472.3213138951093 
 07/31  24:00:00,26.441666666666666,0.0,0.0,0.0,21.0,21.0,0.0,431.3503808732271 
 08/01  01:00:00,25.25833333333333,0.0,0.0,0.0,22.39182399940832,23.0,0.0,0.0 
 08/01  02:00:00,24.508333333333336,0.0,0.0,0.0,22.94425077525251,23.0,0.0,3.2014013666300105 
 08/01  03:00:00,23.891666666666666,0.0,0.0,0.0,22.9999999999921,23.0,0.0,13.386445839532255 
 08/01  04:00:00,23.425,0.0,0.0,0.0,22.989378440642355,23.0,0.0,2.1677414543470834 
 08/01  05:00:00,23.53333333333333,0.4166666666666667,16.388888888888886,0.0,22.88937828980191,23.0,0.0,0.0 
 08/01  06:00:00,24.400000000000002,9.583333333333334,165.5,0.0,22.785676732140985,23.0,0.0,0.0 
 08/01  07:00:00,23.96666666666667,46.583333333333336,470.3333333333333,0.0,22.73520363046246,23.0,0.0,0.0 
 08/01  08:00:00,24.583333333333332,81.5,677.0,0.0,22.785358803191745,23.0,0.0,0.0 
 08/01  09:00:00,27.016666666666666,107.91666666666667,755.75,4.199999999999999,22.943008666650154,23.0,0.9999999999999999,5.902947107006209 
 08/01  10:00:00,30.491666666666674,128.08333333333334,805.9166666666666,4.199999999999999,18.921554950284243,19.0,0.9999999999999999,1103.7416188303825 
 08/01  11:00:00,32.491666666666674,145.16666666666666,841.4166666666666,4.199999999999999,18.999992839205007,19.0,0.9999999999999999,827.3327034786956 
 08/01  12:00:00,35.208333333333336,146.5,850.4166666666666,4.199999999999999,18.999999999940563,19.0,0.9999999999999999,799.2268760340099 
 08/01  13:00:00,36.94166666666667,164.83333333333334,805.25,2.4000000000000004,20.41494903197179,20.5,0.9999999999999999,389.0246629694227 
 08/01  14:00:00,36.958333333333336,169.58333333333334,785.0,2.4000000000000004,20.49999999979046,20.5,0.9999999999999999,551.7995009364 
 08/01  15:00:00,37.11666666666667,166.0,757.1666666666666,2.4000000000000004,20.5,20.5,0.9999999999999999,608.0542366126411 
 08/01  16:00:00,37.25833333333333,172.91666666666666,670.0833333333334,2.4000000000000004,20.5,20.5,0.9999999999999999,651.1295463050396 
 08/01  17:00:00,36.775,199.08333333333334,455.6666666666667,2.4000000000000004,20.5,20.5,0.9999999999999999,724.5827448923652 
 08/01  18:00:00,36.166666666666664,198.33333333333334,163.08333333333334,0.0,20.5,20.5,0.0,794.7908741619559 
 08/01  19:00:00,34.775,117.16666666666667,48.91666666666666,0.0,20.5,20.5,0.0,838.0737317668368 
 08/01  20:00:00,32.675000000000004,20.75,10.5,0.0,20.5,20.5,0.0,803.78912054986 
